[2015-10-19 14:58:37.288] [WARN] log - process: heapTotal 49.76MB heapUsed 15.99MB rss 44.47MB<!log>
[2015-10-19 14:58:37.294] [FATAL] log - Express server listening on port3000<!log>
[2015-10-19 14:58:45.281] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:58:45.288] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 14:58:48.051] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:58:48.073] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 14:58:50.362] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:58:50.379] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 14:59:26.081] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:59:26.098] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 14:59:53.441] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:59:53.450] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 14:59:57.424] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 14:59:57.440] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 15:00:51.719] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:00:51.726] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 15:01:13.371] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:01:13.385] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:05:40.548] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:05:40.552] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:18:32.529] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:18:32.538] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:22:26.267] [WARN] log - process: heapTotal 32.77MB heapUsed 18.51MB rss 43.52MB<!log>
[2015-10-19 15:22:26.269] [FATAL] log - Express server listening on port3000<!log>
[2015-10-19 15:22:27.832] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:22:27.839] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:24:36.535] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:24:36.549] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:25:01.364] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:25:01.368] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:25:03.830] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:25:03.836] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:25:05.939] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:25:05.945] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:25:09.466] [WARN] log - process: heapTotal 33.76MB heapUsed 18.52MB rss 43.73MB<!log>
[2015-10-19 15:25:09.467] [FATAL] log - Express server listening on port3000<!log>
[2015-10-19 15:25:10.520] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:25:10.528] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:26:19.530] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:26:19.536] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:26:28.740] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:26:28.747] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:26:51.812] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:26:51.819] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:27:10.603] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:27:10.607] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:27:38.964] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:27:38.969] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章8条信息<!log>
[2015-10-19 15:28:14.328] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:28:14.335] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:28:16.575] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:28:25.239] [WARN] log - 进入service，目前是更新操作<!log>
[2015-10-19 15:28:25.349] [INFO] log - 成功更新数据库, 更新文章, 共查找文章1条信息<!log>
[2015-10-19 15:28:26.775] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:28:26.787] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:28:33.487] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:28:33.496] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:28:35.967] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:28:35.977] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 15:28:39.006] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:28:39.018] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章6条信息<!log>
[2015-10-19 15:28:41.426] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:28:41.434] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:29:05.746] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:29:05.752] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 15:29:08.442] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:29:08.458] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:29:10.252] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:19.231] [WARN] log - 进入service，目前是更新操作<!log>
[2015-10-19 15:30:19.344] [INFO] log - 成功更新数据库, 更新文章, 共查找文章1条信息<!log>
[2015-10-19 15:30:20.718] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:30:20.728] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:30:22.139] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:22.148] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:25.157] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:25.165] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章22条信息<!log>
[2015-10-19 15:30:33.632] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:33.643] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:36.362] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:36.370] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:38.903] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:44.143] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:44.155] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:46.764] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:30:46.770] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:30:47.817] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:47.849] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:49.255] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:30:49.272] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:51.538] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:30:59.797] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类22条信息<!log>
[2015-10-19 15:30:59.802] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章10条信息<!log>
[2015-10-19 15:31:02.341] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:31:02.358] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:31:05.223] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:31:05.236] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
[2015-10-19 15:31:07.484] [INFO] log - 成功读取数据库, 查找category|分类, 共查找分类6条信息<!log>
[2015-10-19 15:31:07.490] [INFO] log - 成功读取数据库, 查找文章集合, 共查找文章1条信息<!log>
